key,year,venue,pub_type,title,authors
conf/sdm/PelissierNT19,2019,SDM,inproceedings,Feature selection as Monte-Carlo Search in Growing Single Rooted Directed Acyclic Graph by Best Leaf Identification.,Aur|Atsuyoshi Nakamura|Koji Tabata
conf/sdm/WangZMY21,2021,SDM,inproceedings,MT-STNets: Multi-Task Spatial-Temporal Networks for Multi-Scale Traffic Prediction.,Senzhang Wang|Meiyue Zhang|Hao Miao 0001|Philip S. Yu
conf/sdm/YamaguchiMMU20,2020,SDM,inproceedings,LTSpAUC: Learning Time-series Shapelets for Optimizing Partial AUC.,Akihiro Yamaguchi|Shigeru Maya|Kohei Maruchi|Ken Ueno
conf/sdm/LiGS21,2021,SDM,inproceedings,"""Misc""-Aware Weakly Supervised Aspect Classification.",Peiran Li|Fang Guo|Jingbo Shang
conf/sdm/DengHDLM22,2022,SDM,inproceedings,IB-GAN: A Unified Approach for Multivariate Time Series Classification under Class Imbalance.,Grace Deng|Cuize Han|Tommaso Dreossi|Clarence Lee|David S. Matteson
conf/sdm/GolshanTT19,2019,SDM,inproceedings,Recommendations for optimizing the collective user experience.,Behzad Golshan|Evimaria Terzi|Panayiotis Tsaparas
conf/sdm/ForouzeshT24,2024,SDM,inproceedings,Differences Between Hard and Noisy-labeled Samples: An Empirical Study.,Mahsa Forouzesh|Patrick Thiran
conf/sdm/KaltenpothV19,2019,SDM,inproceedings,We Are Not Your Real Parents: Telling Causal from Confounded using MDL.,David Kaltenpoth|Jilles Vreeken
conf/sdm/DawTCRAK20,2020,SDM,inproceedings,Physics-Guided Architecture (PGA) of Neural Networks for Quantifying Uncertainty in Lake Temperature Modeling.,Arka Daw|R. Quinn Thomas|Cayelan C. Carey|Jordan S. Read|Alison P. Appling|Anuj Karpatne
conf/sdm/VercruyssenMD20,2020,SDM,inproceedings,"""Now you see it, now you don't!"" Detecting Suspicious Pattern Absences in Continuous Time Series.",Vincent Vercruyssen|Wannes Meert|Jesse Davis
conf/sdm/LiuLWT19,2019,SDM,inproceedings,Spherical Principal Component Analysis.,Kai Liu 0018|Qiuwei Li|Hua Wang 0007|Gongguo Tang
conf/sdm/MengLZ0K23,2023,SDM,inproceedings,Meta-Learning with Motif-based Task Augmentation for Few-Shot Molecular Property Prediction.,Ziqiao Meng|Yaoman Li|Peilin Zhao|Yang Yu 0010|Irwin King
conf/sdm/ChoudharyHS18,2018,SDM,inproceedings,Sparse Decomposition for Time Series Forecasting and Anomaly Detection.,Sunav Choudhary|Gaurush Hiranandani|Shiv Kumar Saini
conf/sdm/LuNKL24,2024,SDM,inproceedings,HyperFLoRA: Federated Learning with Instantaneous Personalization.,Qikai Lu|Di Niu|Mohammadamin Samadi Khoshkho|Baochun Li
conf/sdm/000300ZS024,2024,SDM,inproceedings,Robust Sparse Online Learning for Data Streams with Streaming Features.,Zhong Chen 0003|Yi He 0007|Di Wu 0056|Huixin Zhan|Victor S. Sheng|Kun Zhang 0012
conf/sdm/LinWMC20,2020,SDM,inproceedings,Filling Missing Values on Wearable-Sensory Time Series Data.,Suwen Lin|Xian Wu 0003|Gonzalo J. Mart|Nitesh V. Chawla
conf/sdm/MedyaSSBS18,2018,SDM,inproceedings,Group Centrality Maximization via Network Design.,Sourav Medya|Arlei Silva|Ambuj K. Singh|Prithwish Basu|Ananthram Swami
conf/sdm/AnandCHVP24,2024,SDM,inproceedings,H,Vivek Anand|Jiaming Cui|Jack Heavey|Anil Vullikanti|B. Aditya Prakash
